,Index_Name,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
352,BSESN,2019-09-12,37330.46875,37435.148438,37048.671875,37104.28125,37104.28125,27500.0,27500.0,-226.1875,-0.606,37196.03385,"September 12, 19",-0.00606
353,BSESN,2019-09-11,37251.03125,37343.460938,37193.570313,37270.820313,37270.820313,36700.0,36700.0,19.78906,0.053,37269.28385,"September 11, 19",0.00053
354,BSESN,2019-09-09,36969.480469,37244.078125,36784.46875,37145.449219,37145.449219,25300.0,25300.0,175.96875,0.47600000000000003,37057.9987,"September 09, 19",0.00476
355,BSESN,2019-09-06,36785.589844,37012.980469,36727.660156,36981.769531,36981.769531,23000.0,23000.0,196.17969,0.5329999999999999,36907.47005,"September 06, 19",0.00533
356,BSESN,2019-09-05,36821.710938,36898.988281,36541.878906,36644.421875,36644.421875,27400.0,27400.0,-177.28906,-0.48100000000000004,36695.09635,"September 05, 19",-0.00481
357,BSESN,2019-09-04,36575.238281,36776.308594,36409.539063,36724.738281,36724.738281,25600.0,25600.0,149.5,0.409,36636.86198,"September 04, 19",0.00409
358,BSESN,2019-09-03,37181.761719,37188.378906,36466.011719,36562.910156,36562.910156,23600.0,23600.0,-618.85156,-1.6640000000000001,36739.10026,"September 03, 19",-0.016640000000000002
359,BSESN,2019-08-30,37222.261719,37397.96875,36829.808594,37332.789063,37332.789063,33400.0,33400.0,110.52734,0.297,37186.85547,"August 30, 19",0.00297
360,BSESN,2019-08-29,37381.800781,37381.800781,36987.351563,37068.929688,37068.929688,31700.0,31700.0,-312.87109,-0.8370000000000001,37146.02734,"August 29, 19",-0.00837
361,BSESN,2019-08-28,37655.769531,37687.820313,37249.191406,37451.839844,37451.839844,28600.0,28600.0,-203.92969,-0.542,37462.95052,"August 28, 19",-0.00542
362,BSESN,2019-08-27,37658.480469,37731.511719,37449.691406,37641.269531,37641.269531,36500.0,36500.0,-17.21094,-0.046,37607.49089,"August 27, 19",-0.00045999999999999996
363,BSESN,2019-08-26,37363.949219,37544.480469,36492.648438,37494.121094,37494.121094,35600.0,35600.0,130.17188,0.348,37177.08333,"August 26, 19",0.0034799999999999996
364,BSESN,2019-08-23,36387.679688,36807.339844,36102.351563,36701.160156,36701.160156,38400.0,38400.0,313.48047,0.862,36536.95052,"August 23, 19",0.008620000000000001
365,BSESN,2019-08-22,37087.578125,37087.578125,36391.351563,36472.929688,36472.929688,33100.0,33100.0,-614.64844,-1.6569999999999998,36650.61979,"August 22, 19",-0.016569999999999998
366,BSESN,2019-08-21,37298.730469,37406.550781,37022.519531,37060.371094,37060.371094,28500.0,28500.0,-238.35938,-0.639,37163.14714,"August 21, 19",-0.00639
367,BSESN,2019-08-20,37441.75,37511.550781,37219.898438,37328.011719,37328.011719,20900.0,20900.0,-113.73828,-0.304,37353.15365,"August 20, 19",-0.0030399999999999997
368,BSESN,2019-08-19,37485.921875,37718.878906,37358.488281,37402.488281,37402.488281,17700.0,17700.0,-83.43359,-0.223,37493.28516,"August 19, 19",-0.00223
369,BSESN,2019-08-16,37383.0,37444.449219,36974.410156,37350.328125,37350.328125,26100.0,26100.0,-32.67188,-0.087,37256.39583,"August 16, 19",-0.0008699999999999999
370,BSESN,2019-08-14,37233.5,37473.609375,37000.769531,37311.53125,37311.53125,22500.0,22500.0,78.03125,0.21,37261.97005,"August 14, 19",0.0021
371,BSESN,2019-08-13,37755.160156,37755.160156,36888.488281,36958.160156,36958.160156,28600.0,28600.0,-797.0,-2.1109999999999998,37200.60286,"August 13, 19",-0.02111
372,BSESN,2019-08-09,37521.300781,37807.550781,37406.261719,37581.910156,37581.910156,27400.0,27400.0,60.60938,0.162,37598.57422,"August 09, 19",0.00162
373,BSESN,2019-08-08,36808.011719,37405.480469,36655.410156,37327.359375,37327.359375,24100.0,24100.0,519.34766,1.411,37129.41667,"August 08, 19",0.01411
374,BSESN,2019-08-07,37025.269531,37104.789063,36610.570313,36690.5,36690.5,25300.0,25300.0,-334.76953,-0.904,36801.95313,"August 07, 19",-0.009040000000000001
375,BSESN,2019-08-06,36568.03125,37241.769531,36536.589844,36976.851563,36976.851563,25400.0,25400.0,408.82031,1.1179999999999999,36918.40365,"August 06, 19",0.011179999999999999
